Signals-> 0 1 2 3 4 5 6 7 8    9 10 11   12 13 14   15 16 17 18 19   20   21 22   23 24 25  26 27 28  29 30    31   32   33   34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52   

sample

-2034     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 243  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2033     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 293  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2032     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 343  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2031     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 393  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2030     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 443  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2029     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 493  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2028     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 543  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2027     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 593  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2026     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 643  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2025     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 693  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2024     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 743  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2023     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 793  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2022     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 843  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2021     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 893  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2020     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 943  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2019     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 993  6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2018     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 1043 6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2017     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 1093 6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2016     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 1143 6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2015     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 1193 6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2014     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 1243 6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2013     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 1293 6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2012     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 1343 6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2011     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 1393 6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
-2010     0 0 0 1 0 0 1 0 8191 0 0  8191 0  0  4095 1  0  0  4h 8191 8191 0  0    0  0  4Ch 1  1  07h 2h 309Ch 5639 1600 1443 6  0h 1  0  0  0  0  2  1  1  6  2  0  0  33 6  0  12 6800 
